Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Availability,Category,Gender,Size,Design,Link
Interlock Outerwear,|        Interlock Outerwear    ,Interlock,Pink,PKR 5000 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/interlock-outerwear
Long Sleeve Fleece Closed Hoodie,|        Long Sleeve Fleece Closed Hoodie    ,Fleece,Heather Grey,PKR 3100 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeve-fleece-closed-hoodie
Full Sleeve Fleece Long Sweat Shirt,|        Full Sleeve Fleece Long Sweat Shirt    ,Fleece,Ivory,PKR 2450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-fleece-long-sweat-shirt-21893
Full Sleeve Fleece Long Sweat Shirt,|        Full Sleeve Fleece Long Sweat Shirt    ,Fleece,Rose Gold,PKR 2450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-fleece-long-sweat-shirt
Thigh Length Jersey Cape,|        Thigh Length Jersey Cape    ,Jersey,Heather Grey,PKR 2650 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/thigh-length-jersey-cape
Calf Length Jersey Cape,|        Calf Length Jersey Cape    ,Jersey,Black,PKR 2750 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/calf-length-jersey-cape
Sleeveless Cotton Zipper Hoodie,|        Sleeveless Cotton Zipper Hoodie    ,Cotton,Grey,PKR 2600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/sleeveless-cotton-zipper-hoodie
Long Sleeve Cotton Zipper Hoodie,|        Long Sleeve Cotton Zipper Hoodie    ,Cotton,Blush Pink,PKR 2900 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeve-cotton-zipper-hoodie
Basic Jersey Lower,|        Basic Jersey Lower    ,Jersey,Black,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/basic-jersey-lower
Fleece Jogger Pant,|Fleece Jogger Pant ,Fleece,Dark Maroon,PKR 2600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-jogger-pant-22242
Fleece Jogger Pant,|        Fleece Jogger Pant    ,Fleece,Military Green,PKR 2600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-jogger-pant
Jersey Tank Top,|        Jersey Tank Top    ,Jersey,White,PKR 1200 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/jersey-tank-top-21677
Full Sleeve Jersey Top,|        Full Sleeve Jersey Top    ,Jersey,White,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-jersey-top-21692
Full Sleeve Jersey Top,|        Full Sleeve Jersey Top    ,Jersey,Blue,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-jersey-top-21687
Full Sleeve Long Jersey Top,|        Full Sleeve Long Jersey Top    ,Jersey,Black,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-jersey-top
Thigh Length Jersey Tank Top,|        Thigh Length Jersey Tank Top    ,Jersey,Beige,PKR 1600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/thigh-length-jersey-tank-top-21652
Crop Leotard Jersey Top,|        Crop Leotard Jersey Top    ,Jersey,Heather Grey,PKR 1650 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/crop-leotard-jersey-top-21642
Crop Leotard Jersey Top,|        Crop Leotard Jersey Top    ,Jersey,Black,PKR 1650 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/crop-leotard-jersey-top
Thing Length Long Sleeve Jersey Top,|        Thing Length Long Sleeve Jersey Top    ,Jersey,Black,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/thing-length-long-sleeve-jersey-top
Crank Tank Cotton Top,|        Crank Tank Cotton Top    ,Cotton,Black,PKR 1350 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/crank-tank-cotton-top
Embroidered Cotton Top,|        Embroidered Cotton Top    ,Cotton,Black,PKR 2600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/embroidered-cotton-top
Full Sleeve Fleece Sweat Shirt,|        Full Sleeve Fleece Sweat Shirt    ,Fleece,Heather Grey,PKR 2400 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-fleece-sweat-shirt
Full Sleeve French Terry Sweat Shirt,|        Full Sleeve French Terry Sweat Shirt    ,French Terry,Navy,PKR 2750 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-french-terry-sweat-shirt-23023
Full Sleeve French Terry Sweat Shirt,|        Full Sleeve French Terry Sweat Shirt    ,French Terry,Charcoal,PKR 2750 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-french-terry-sweat-shirt
Half Sleeve Jersey Polo,|        Half Sleeve Jersey Polo    ,Jersey,White,PKR 1950 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeve-jersey-polo-23013
Half Sleeve Jersey Polo,|        Half Sleeve Jersey Polo    ,Jersey,Heather Grey,PKR 1950 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeve-jersey-polo
Half Sleeve V-Neck Cotton Top,|        Half Sleeve V-Neck Cotton Top    ,Cotton,Light Grey,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeve-v-neck-cotton-top
Long Sleeves Pique Polo,|        Long Sleeves Pique Polo    ,Pique,Green,PKR 2100 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-pique-polo-22595
Long Sleeves Pique Polo,|        Long Sleeves Pique Polo    ,Pique,Blue,PKR 2100 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-pique-polo
Half Sleeves Jersey Polo,|        Half Sleeves Jersey Polo    ,Jersey,Cyan,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeves-jersey-polo-22585
Half Sleeves Jersey Polo,|        Half Sleeves Jersey Polo    ,Jersey,Black,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeves-jersey-polo
Long Sleeves Fleece Top,|        Long Sleeves Fleece Top    ,Fleece,Black,PKR 1900 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-fleece-top-22605
Long Sleeves Fleece Top,|        Long Sleeves Fleece Top    ,Fleece,Military Green,PKR 1900 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-fleece-top-22600
Long Sleeves French Terry Top,|        Long Sleeves French Terry Top    ,French Terry,White,PKR 2300 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-french-terry-top-22565
Long Sleeves French Terry Top,|        Long Sleeves French Terry Top    ,French Terry,Black,PKR 2300 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-french-terry-top
Long Sleeves Cotton Top,|        Long Sleeves Cotton Top    ,Cotton,White,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-cotton-top-22555
Long Sleeves Cotton Top,|        Long Sleeves Cotton Top    ,Cotton,Navy,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeves-cotton-top
Fleece Capri Jogger Pant,|        Fleece Capri Jogger Pant|Regular Fit    ,Fleece,Grey,PKR 2450 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-capri-jogger-pant
Fleece Stretch Pant,|        Fleece Stretch Pant|Regular Fit    ,Fleece,Black,PKR 2500 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-stretch-pant
Fleece Jogger Pant,|        Fleece Jogger Pant|Regular Fit    ,Fleece,Black,PKR 2450 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-jogger-pant-22246
3 Quarter Sleeve Henley Cotton Top,|        3 Quarter Sleeve Henley Cotton Top    ,Cotton,Black,PKR 2200 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/3-quarter-sleeve-henley-cotton-top-21851
3 Quarter Sleeve Henley Cotton Top,|        3 Quarter Sleeve Henley Cotton Top    ,Cotton,Blue,PKR 2200 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/3-quarter-sleeve-henley-cotton-top
Fleece Sweat Shirt,|        Fleece Sweat Shirt    ,Fleece,Heather Grey,PKR 2050 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-sweat-shirt-21841
Fleece Sweat Shirt,|        Fleece Sweat Shirt    ,Fleece,Blue,PKR 2050 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-sweat-shirt
Fleece Sweat Pant,|        Fleece Sweat Pant    ,Fleece,Heather Grey,PKR 2450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-sweat-pant
Full Sleeve Cotton Polo,|        Full Sleeve Cotton Polo    ,Cotton,Grey,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-cotton-polo-21827
Full Sleeve Cotton Polo,|        Full Sleeve Cotton Polo    ,Cotton,Black,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-cotton-polo
Full Sleeve Jersey Polo,|        Full Sleeve Jersey Polo    ,Jersey,Heather Grey,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-jersey-polo-21817
Full Sleeve Jersey Polo,|        Full Sleeve Jersey Polo    ,Jersey,Black,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-jersey-polo
Round Neck Half Sleeve Jersey Top,|        Round Neck Half Sleeve Jersey Top    ,Jersey,Navy Blue,PKR 2100 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-half-sleeve-jersey-top-21907
Round Neck Half Sleeve Jersey Top,|        Round Neck Half Sleeve Jersey Top    ,Jersey,Charcoal Grey,PKR 2100 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-half-sleeve-jersey-top-21902
Round Neck Half Sleeve Space Dyed Jersey Top,|        Round Neck Half Sleeve Space Dyed Jersey Top    ,Jersey,Grey,PKR 1600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-half-sleeve-space-dyed-jersey-top-21797
Round Neck Half Sleeve Space Dyed Jersey Top,|        Round Neck Half Sleeve Space Dyed Jersey Top    ,Jersey,Blue,PKR 1600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-half-sleeve-space-dyed-jersey-top
Round Neck Half Sleeve Jersey Top,|        Round Neck Half Sleeve Jersey Top    ,Jersey,Maroon,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-half-sleeve-jersey-top-21897
Round Neck Half Sleeve Jersey Top,|        Round Neck Half Sleeve Jersey Top    ,Jersey,Blue,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-half-sleeve-jersey-top-21892
Round Neck 3 Quarter Sleeve Cotton Top,|        Round Neck 3 Quarter Sleeve Cotton Top    ,Cotton,White,PKR 1700 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-3-quarter-sleeve-cotton-top-21777
Round Neck 3 Quarter Sleeve Cotton Top,|        Round Neck 3 Quarter Sleeve Cotton Top    ,Cotton,Grey,PKR 1700 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-3-quarter-sleeve-cotton-top
 Round Neck Full Sleeve Jersey Top,|         Round Neck Full Sleeve Jersey Top    ,Jersey,Grey,PKR 1700 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-full-sleeve-jersey-top-21817
 Round Neck Full Sleeve Jersey Top,|         Round Neck Full Sleeve Jersey Top    ,Jersey,Beige,PKR 1700 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-full-sleeve-jersey-top-21812
V-Neck Full Sleeve Jersey Top,|        V-Neck Full Sleeve Jersey Top    ,Jersey,White,PKR 1750 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/v-neck-full-sleeve-jersey-top-21757
V-Neck Full Sleeve Jersey Top,|        V-Neck Full Sleeve Jersey Top    ,Jersey,Charcoal Grey,PKR 1750 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/v-neck-full-sleeve-jersey-top
Half Sleeve Henley Jersey Top,|        Half Sleeve Henley Jersey Top    ,Jersey,Grey,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeve-henley-jersey-top-21747
Half Sleeve Henley Jersey Top,|        Half Sleeve Henley Jersey Top    ,Jersey,Blue,PKR 2000 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/half-sleeve-henley-jersey-top
V-Neck Full Sleeve Cotton Top,|        V-Neck Full Sleeve Cotton Top    ,Cotton,Blue,PKR 1400 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/v-neck-full-sleeve-cotton-top-21737
V-Neck Full Sleeve Cotton Top,|        V-Neck Full Sleeve Cotton Top    ,Cotton,Black,PKR 1400 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/v-neck-full-sleeve-cotton-top
Round Neck Half Sleeve Jersey Top,|        Round Neck Half Sleeve Jersey Top    ,Jersey,Black,PKR 1300 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-half-sleeve-jersey-top
Round Neck 3 Quarter Sleeve Jersey Top,|        Round Neck 3 Quarter Sleeve Jersey Top    ,Jersey,Maroon,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-3-quarter-sleeve-jersey-top-21767
Round Neck 3 Quarter Sleeve Jersey Top,|        Round Neck 3 Quarter Sleeve Jersey Top    ,Jersey,Black,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-3-quarter-sleeve-jersey-top-21762
Full Sleeve Henley Jersey Top,|        Full Sleeve Henley Jersey Top    ,Jersey,Military Green,PKR 1850 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-henley-jersey-top-21707
Full Sleeve Henley Jersey Top,|        Full Sleeve Henley Jersey Top    ,Jersey,Grey,PKR 1850 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/full-sleeve-henley-jersey-top
Round Neck 3 Quarter Sleeve Jersey Top,|        Round Neck 3 Quarter Sleeve Jersey Top    ,Jersey,White,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-3-quarter-sleeve-jersey-top-21757
Round Neck 3 Quarter Sleeve Jersey Top,|        Round Neck 3 Quarter Sleeve Jersey Top    ,Jersey,Heather Grey,PKR 1450 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-3-quarter-sleeve-jersey-top
Round Neck Full Sleeve Jersey Top,|        Round Neck Full Sleeve Jersey Top    ,Jersey,Black,PKR 1600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-full-sleeve-jersey-top-21807
Round Neck Full Sleeve Jersey Top,|        Round Neck Full Sleeve Jersey Top    ,Jersey,Grey,PKR 1600 ,-,-,1 Piece,In stock,Stitched,Active Wear,S|M|L,Athleisure,https://www.alkaramstudio.com/round-neck-full-sleeve-jersey-top
Jersey Jacket,|        Jersey Jacket|Basic Fit    ,Jersey,Icy Pink,PKR 3050 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23395/s/jersey-jacket/category/594/
Fleece Jacket Trouser Set,|        Fleece Jacket Trouser Set|Basic Fit    ,Fleece,Yellow,PKR 3100 ,-,-,2 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23355/s/fleece-jacket-trouser-set/category/594/
Fleece Sweat Top,|        Fleece Sweat Top|Basic Fit    ,Fleece,Light Blue,PKR 1850 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23349/s/fleece-sweat-top/category/594/
French Terry Pant,|        French Terry Pant|Basic Fit    ,French Terry,Yellow,PKR 1400 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23343/s/french-terry-pant/category/594/
Fleece Sweat Top,|        Fleece Sweat Top|Basic Fit    ,Fleece,Green,PKR 1750 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23337/s/fleece-sweat-top/category/594/
Cotton Trouser,|        Cotton Trouser|Basic Fit    ,Cotton,Pink,PKR 1550 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23331/s/cotton-trouser/category/594/
Cotton Trouser,|        Cotton Trouser|Basic Fit    ,Cotton,Grey,PKR 1300 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23325/s/cotton-trouser/category/594/
French Terry Sweat Top,|        French Terry Sweat Top|Basic Fit    ,French Terry,Turquoise,PKR 1650 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23319/s/french-terry-sweat-top/category/594/
Fleece Jacket,|        Fleece Jacket|Basic Fit    ,Fleece,Black,PKR 2500 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23313/s/fleece-jacket/category/594/
Fleece Sweat Top,|        Fleece Sweat Top|Basic Fit    ,Fleece,Black,PKR 1800 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23307/s/fleece-sweat-top/category/594/
French Terry Sweat Top,|        French Terry Sweat Top|Basic Fit    ,French Terry,Purple,PKR 2100 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23301/s/french-terry-sweat-top/category/594/
Full Sleeve Fleece Jacket,|        Full Sleeve Fleece Jacket|Basic Fit    ,Fleece,Blush Pink,PKR 2300 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23295/s/full-sleeve-fleece-jacket/category/594/
Camouflage French Terry Hoodie Suit,|        Camouflage French Terry Hoodie Suit|Shirt & Trouser|Basic Fit    ,French Terry,Grey,PKR 3100 ,-,-,2 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23271/s/camouflage-french-terry-hoodie-suit/category/594/
Cotton Sweat Top,|        Cotton Sweat Top|Basic Fit    ,Cotton,Blue,PKR 1750 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/catalog/product/view/id/23265/s/cotton-sweat-top/category/594/
Fleece Jacket,|        Fleece Jacket|Basic Fit    ,Fleece,Black,PKR 2700 ,-,-,1 Piece,In stock,Stitched,Activewear/Kids,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-jacket-22626
Fleece Jacket,|        Fleece Jacket|Basic Fit    ,Fleece,Army Green,PKR 2700 ,-,-,1 Piece,In stock,Stitched,Activewear/Kids,S|M|L,Athleisure,https://www.alkaramstudio.com/fleece-jacket-22620
Interlock Pant,|        Interlock Pant|Basic Fit    ,Interlock,Candy Pink,PKR 1550 ,-,-,1 Piece,In stock,Stitched,Activewear/Kids,S|M|L,Athleisure,https://www.alkaramstudio.com/interlock-pant-22604
Jersey Suit,|        Jersey Suit|Basic Fit    ,Jersey,Ice Pink,PKR 2700 ,-,-,2 Piece,In stock,Stitched,Activewear/Kids,S|M|L,Athleisure,https://www.alkaramstudio.com/jersey-suit
Long Sleeve Fleece Top,|        Long Sleeve Fleece Top|Basic Fit    ,Fleece,Pink,PKR 1600 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeve-fleece-top-22485
Long Sleeve Fleece Top,|        Long Sleeve Fleece Top|Basic Fit    ,Fleece,Black,PKR 1550 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeve-fleece-top-22479
Interlock Top,|        Interlock Top|Basic Fit    ,Interlock,Rose Pink,PKR 1750 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/interlock-top
Interlock Pant,|        Interlock Pant|Basic Fit    ,Interlock,Grey,PKR 1600 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/interlock-pant
Long Sleeve Interlock Top,|        Long Sleeve Interlock Top|Basic Fit    ,Interlock,Black,PKR 1650 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeve-interlock-top
Long Sleeve French Terry Top ,|        Long Sleeve French Terry Top|Basic Fit    ,French Terry,Multi,PKR 2050 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeve-french-terry-top
Long Sleeve Fleece Top ,|        Long Sleeve Fleece Top|Basic Fit    ,Fleece,White,PKR 1800 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/long-sleeve-fleece-top
Pique Jacket,|        Pique Jacket|Basic Fit    ,Pique,Blue,PKR 2600 ,-,-,1 Piece,In stock,Stitched,Activewear,S|M|L,Athleisure,https://www.alkaramstudio.com/pique-jacket
