,Name,Description,Old Price,New Price,Discount,Size(s)
16,Light Grey Gold Brick FW Unstitched Fabric,"Premium Fine Quality Cotton 4.5 MTR Suit
Reasons To Shop With Ideas:

FREE Nationwide Delivery
We offer FREE of cost delivery across Pakistan. There is no spending limit to avail free delivery. Products starting from as low as PKR 450 will be delivered to your address without any additional charges.
24x7x365 Customer Support
We offer uninterrupted, real-time online customer support with Live chat on our website. You can contact us on our Facebook Page. Our email handling services are available to assist you with all your queries, simply contact our customer care department by emailing us at customerservice@gulahmedshop.com or you can call us at +92-21-111-143-327.
Payment security and Convenience
We have secure integrated channels to offer you a seamless online payment experience. For the convenience of our customers we also offer Cash on Delivery nationwide for quick and easy distribution.
30-Days Return/Exchange Policy
You may return a product within 30 days of delivery. Products purchased online can be exchanged from any of our branches nationwide even suring sale period. For the utmost convenience of our customers we offer pick-up from your doorstep. If you need to return a product, contact our customer care department by emailing us at customerservice@gulahmedshop.com or call us at +92-21-111-143-327.
FREE Worldwide Shipping*
Don't live in Pakistan? Worry not. We offer FREE global shipping on all orders above 150USD. During SALE periods we offer FREE worldwide shipping on all orders above 250USD","PKR 5,400","PKR 2,700",50,
17,Chocolate Brown Gold Brick FW Unstitched Fabric,"Premium Fine Quality Cotton 4.5 MTR Suit
Reasons To Shop With Ideas:

FREE Nationwide Delivery
We offer FREE of cost delivery across Pakistan. There is no spending limit to avail free delivery. Products starting from as low as PKR 450 will be delivered to your address without any additional charges.
24x7x365 Customer Support
We offer uninterrupted, real-time online customer support with Live chat on our website. You can contact us on our Facebook Page. Our email handling services are available to assist you with all your queries, simply contact our customer care department by emailing us at customerservice@gulahmedshop.com or you can call us at +92-21-111-143-327.
Payment security and Convenience
We have secure integrated channels to offer you a seamless online payment experience. For the convenience of our customers we also offer Cash on Delivery nationwide for quick and easy distribution.
30-Days Return/Exchange Policy
You may return a product within 30 days of delivery. Products purchased online can be exchanged from any of our branches nationwide even suring sale period. For the utmost convenience of our customers we offer pick-up from your doorstep. If you need to return a product, contact our customer care department by emailing us at customerservice@gulahmedshop.com or call us at +92-21-111-143-327.
FREE Worldwide Shipping*
Don't live in Pakistan? Worry not. We offer FREE global shipping on all orders above 150USD. During SALE periods we offer FREE worldwide shipping on all orders above 250USD","PKR 5,400","PKR 2,700",50,
18,Grey Opus Clover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 5,760","PKR 2,880",50,
19,Dark Brown Opus Clover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 5,760","PKR 2,880",50,
20,Dark Grey Opus Clover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 5,760","PKR 2,880",50,
21,Light Malaysia Opus Clover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 5,760","PKR 2,880",50,
22,Light Grey Opus Clover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 5,760","PKR 2,880",50,
23,Dark Malaysia Opus Clover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 5,760","PKR 2,880",50,
24,Mehndi Opus  Clover  LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 5,760","PKR 2,880",50,
25,Dark Green Opus  Clover  LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 5,760","PKR 2,880",50,
26,Light Peach Opus  Cosmos  LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
27,Light Grey Opus  Cosmos  LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
28,Light Green Opus  Cosmos  LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
29,Grey Opus  Cosmos  LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
30,Dark Peach Opus  Dover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,750","PKR 3,375",50,
31,Light Sea Blue Opus  Dover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,750","PKR 3,375",50,
32,Ash Grey Opus  Dover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,750","PKR 3,375",50,
33,Sand Opus  Dover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,750","PKR 3,375",50,
34,Brown Opus  Dover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,750","PKR 3,375",50,
35,Light Grey Opus  Dover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,750","PKR 3,375",50,
36,Light Green Opus  Dover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,750","PKR 3,375",50,
37,Light Brown Opus  Dover LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,750","PKR 3,375",50,
38,Light Stone Opus  Cosmos LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
39,Light Silver Grey Opus  Cosmos LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
40,Biscuiti Opus  Cosmos LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
41,Light Blue Opus  Cosmos LSW Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
42,Light Grey Opus Roxy Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 Suit,"PKR 3,222","PKR 1,611",50,
43,Sky Blue Opus Roxy Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 Suit,"PKR 3,222","PKR 1,611",50,
44,Grey GUL KORUS-G Unstitched Fabric,Premium Fine Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,150","PKR 2,048",35,
45,Redish Brown GUL KORUS-G Unstitched Fabric,Premium Fine Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,150","PKR 2,048",35,
46,Dark Stone GUL KORUS-G Unstitched Fabric,Premium Fine Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,150","PKR 2,048",35,
47,Brown GUL KORUS-G Unstitched Fabric,Premium Fine Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,150","PKR 2,048",35,
48,Black Opus Milano Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,570","PKR 3,285",50,
49,Beige GUL MAKHMAL Unstitched Fabric,Premium Fine Wash & Wear Fabric 4.5 Suit,"PKR 2,682","PKR 2,012",25,
50,Cream Sahara Unstitched Fabric,Premium Fine Wash & Wear Fabric 4.5 MTR Suit,"PKR 6,190","PKR 4,028",35,
51,Dark Brown Vision Shelby Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,240","PKR 1,620",50,
52,Dark Brown Opus Diamond Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,861","PKR 1,931",50,
53,Light Malaysia Opus Diamond Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,861","PKR 1,931",50,
54,Light Falsai Vision Choroma Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,051","PKR 1,526",50,
55,Light Purple Vision Elaaf Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,011","PKR 1,506",50,
56,Brown Unstitched Vision Tricot Unstitched Fabric,Premium Fine Quality Wash & Wear Fabric 4.5 Suit,"PKR 3,222","PKR 1,611",50,
57,Grey Vision Tricot Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 Suit,"PKR 3,222","PKR 1,611",50,
58,Dark Stone Vision Tricot Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 Suit,"PKR 3,222","PKR 1,611",50,
59,Brown Vision Tricot Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 Suit,"PKR 3,222","PKR 1,611",50,
60,Grey Gul 900 Amar Unstitched Fabric,Premium Fine Quality Wash & Wear Fabric 4.5 Suit,"PKR 2,961","PKR 1,481",50,
61,Brown Gul 900 Amar Unstitched Fabric,Premium Fine Quality Wash & Wear Fabric 4.5 Suit,"PKR 2,960","PKR 1,480",50,
62,Khaki Brown Gul 900 Ferrari Unstitched Fabric,Premium Fine Quality Wash & Wear Fabric 4.5 Suit,"PKR 1,940","PKR 1,458",25,
63,Chocolate Brown Gul 900 Ferrari Unstitched Fabric,Premium Fine Quality Wash & Wear Fabric 4.5 Suit,"PKR 1,940","PKR 1,458",25,
64,Malaysia Opus Stella Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 Suit,"PKR 3,362","PKR 1,681",50,
65,Grey Opus Stella Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 Suit,"PKR 3,362","PKR 1,681",50,
66,Light Sand Opus Stella Unstitched Fabric,Luxurious Wash & Wear Fabric 4.5 Suit,"PKR 3,362","PKR 1,681",50,
